date,timepoint,coral_ID,treatment_temp,polyp_count,BW_1,BW_2,BW_3,temp,pH,DO,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,MAAB,32,38,2.77,2.77,2.77,21.79,7.88,46.3,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,NCW,32,38,2.23,2.23,2.23,21.79,7.88,46.3,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,MAW,32,26,4.64,4.64,4.64,21.79,7.88,46.3,,,,,,,,,,,,,,,,,,,,,,,
8/2/22,end,RIW,32,14,1.63,1.63,1.63,21.79,7.88,46.3,,,,,,,,,,,,,,,,,,,,,,,
8/3/22,end,RIAA,32,45,1.54,1.52,1.52,21.85,7.91,52.3,,,,,,,,,,,,,,,,,,,,,,,
8/3/22,end,MAX,32,20,2.06,2.05,2.06,21.85,7.91,52.3,,,,,,,,,,,,,,,,,,,,,,,
8/3/22,end,NCV,32,39,1.47,1.47,1.47,21.85,7.91,52.3,,,,,,,,,,,,,,,,,,,,,,,
8/3/22,end,NCY,32,37,4.99,4.98,4.99,21.85,7.91,52.3,,,,,,,,,,,,,,,,,,,,,,,
8/3/22,end,RIV,32,19,2.53,2.53,2.53,21.85,7.91,52.3,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,RIX,32,27,3.73,3.73,3.73,21.9,7.89,47.4,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,RIZ,32,13,1.71,1.71,1.71,21.9,7.89,47.4,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,MAV,32,30,5.09,5.09,5.09,21.9,7.89,47.4,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,MAAA,32,32,6.86,6.86,6.86,21.9,7.89,47.4,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,MAP,28,18,2.15,2.15,2.15,21.96,7.88,44.2,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,RIT,28,34,3.11,3.11,3.11,21.96,7.88,44.2,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,NCP,28,12,0.4,0.4,0.4,21.96,7.88,44.2,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,MAQ,28,20,3.75,3.75,3.75,21.96,7.88,44.2,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,NCO,28,15,0.38,0.38,0.38,21.98,7.89,47.3,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,NCR,28,9,0.55,0.55,0.55,21.98,7.89,47.3,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,RIO,28,36,5.56,5.56,5.56,21.98,7.89,47.3,,,,,,,,,,,,,,,,,,,,,,,
8/4/22,end,NCS,28,12,0.57,0.57,0.57,21.98,7.89,47.3,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,NCQ,28,42,1.96,1.96,1.96,21.9,7.9,48,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,RIU,28,25,5.17,5.17,5.17,21.9,7.9,48,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,MAO,28,21,2.35,2.35,2.35,21.9,7.9,48,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,RIP,28,37,2.37,2.37,2.37,21.9,7.9,48,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,NCT,28,12,0.84,0.84,0.84,21.95,7.88,48.5,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,RIQ,28,45,6.7,6.7,6.7,21.95,7.88,48.5,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,MAU,28,44,7.08,7.08,7.08,21.95,7.88,48.5,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,RIR,28,42,4.48,4.48,4.48,21.95,7.88,48.5,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,MAS,28,15,2.83,2.83,2.83,21.95,7.88,48.5,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,NCU,28,12,0.64,0.64,0.64,21.94,7.89,46.9,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,RIS,28,14,0.29,0.29,0.29,21.94,7.89,46.9,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,MAR,28,17,4.09,4.09,4.09,21.94,7.89,46.9,,,,,,,,,,,,,,,,,,,,,,,
8/5/22,end,MAT,28,24,3.05,3.05,3.05,21.94,7.89,46.9,,,,,,,,,,,,,,,,,,,,,,,
8/6/22,end,MAH,22,8,0.25,0.25,0.25,21.88,7.87,52,,,,,,,,,,,,,,,,,,,,,,,
8/6/22,end,NCN,22,28,1.52,1.52,1.52,21.88,7.87,52,,,,,,,,,,,,,,,,,,,,,,,
8/6/22,end,MAJ,22,35,6.58,6.58,6.58,21.88,7.87,52,,,,,,,,,,,,,,,,,,,,,,,
8/6/22,end,MAN,22,15,1.14,1.14,1.14,21.88,7.87,52,,,,,,,,,,,,,,,,,,,,,,,
8/6/22,end,NCK,22,20,1.8,1.8,1.8,21.91,7.87,47.5,,,,,,,,,,,,,,,,,,,,,,,
