date,week,coral_ID,treatment_temp,ambient_temp,Fo_1,Fm_1,Fv/Fm_1,Fo_2,Fm_2,Fv/Fm_2,Fo_3,Fm_3,Fv/Fm_3,,,,,,,,,,,,
7/11/22,3,RIAB,32,32,207,210,0.014,155,157,0.012,155,157,0.012,,,,,,,,,,,,
7/11/22,3,NCV,32,32,278,805,0.654,329,723,0.544,232,627,0.629,,,,,,,,,,,,
7/11/22,3,MAV,32,32,59,127,0.535,27,84,0.678,15,60,0.75,,,,,,,,,,,,
7/11/22,3,NCAB,32,32,311,562,0.446,240,485,0.505,292,555,0.473,,,,,,,,,,,,
7/11/22,3,NCY,32,32,378,689,0.451,239,788,0.696,225,742,0.696,,,,,,,,,,,,
7/11/22,3,MAX,32,32,139,213,0.347,169,244,0.307,45,58,0.224,,,,,,,,,,,,
7/11/22,3,NCX,32,32,373,764,0.511,309,742,0.583,277,624,0.556,,,,,,,,,,,,
7/11/22,3,RIZ,32,32,14,49,0.714,24,55,0.563,20,69,0.71,,,,,,,,,,,,
7/11/22,3,NCZ,32,32,400,765,0.477,240,543,0.558,244,587,0.584,,,,,,,,,,,,
7/11/22,3,RIAA,32,32,222,226,0.017,308,366,0.158,373,416,0.103,,,,,,,,,,,,
7/11/22,3,RIY,32,32,183,187,0.021,146,160,0.087,146,160,0.087,,,,,,,,,,,,
7/11/22,3,MAY,32,32,132,150,0.12,37,72,0.486,82,112,0.267,,,,,,,,,,,,
7/11/22,3,RIX,32,32,34,48,0.291,197,200,0.015,197,200,0.015,,,,,,,,,,,,
7/11/22,3,RIW,32,32,58,141,0.588,69,173,0.601,52,134,0.611,,,,,,,,,,,,
7/11/22,3,NCAA,32,32,360,613,0.412,313,534,0.413,286,534,0.464,,,,,,,,,,,,
7/11/22,3,RIV,32,32,283,287,0.013,255,262,0.026,200,201,0.004,,,,,,,,,,,,
7/11/22,3,NCW,32,32,358,701,0.489,263,664,0.603,226,621,0.636,,,,,,,,,,,,
7/11/22,3,NCT,28,28,239,353,0.322,309,501,0.383,220,403,0.454,,,,,,,,,,,,
7/11/22,3,NCP,28,28,201,565,0.644,226,610,0.629,200,547,0.634,,,,,,,,,,,,
7/11/22,3,NCQ,28,28,217,663,0.672,238,711,0.665,203,655,0.69,,,,,,,,,,,,
7/11/22,3,RIR,28,28,400,605,0.338,324,650,0.501,325,511,0.363,,,,,,,,,,,,
7/11/22,3,NCS,28,28,226,680,0.667,193,568,0.66,214,632,0.661,,,,,,,,,,,,
7/11/22,3,MAO,28,28,211,419,0.496,39,120,0.675,95,209,0.545,,,,,,,,,,,,
7/11/22,3,MAS,28,28,423,614,0.311,435,647,0.327,83,184,0.548,,,,,,,,,,,,
